crypto,quantite,prix,valeur,date
BTC,20,80682.0,1613640.0,2026-05-12 23: 08
ETH,10,2284.16,22841.6,2026-05-12 23: 08
TAO,10,311.49,3114.9,2026-05-12 23: 08
LINK,5,10.31,51.550000000000004,2026-05-12 23: 08
KASPA,100,0.03820468,3.820468,2026-05-12 23: 08
BTC,20,80697.0,1613940.0,2026-05-12 23: 09
ETH,10,2284.65,22846.5,2026-05-12 23: 09
TAO,10,311.2,3112.0,2026-05-12 23: 09
LINK,5,10.31,51.550000000000004,2026-05-12 23: 09
KASPA,100,0.03822256,3.8222560000000003,2026-05-12 23: 09
BTC,20,80697.0,1613940.0,2026-05-12 23: 09
ETH,10,2284.65,22846.5,2026-05-12 23: 09
TAO,10,311.2,3112.0,2026-05-12 23: 09
LINK,5,10.31,51.550000000000004,2026-05-12 23: 09
KASPA,100,0.03822256,3.8222560000000003,2026-05-12 23: 09
BTC,20,80697.0,1613940.0,2026-05-12 23: 09
ETH,10,2284.65,22846.5,2026-05-12 23: 09
TAO,10,311.2,3112.0,2026-05-12 23: 09
LINK,5,10.31,51.550000000000004,2026-05-12 23: 09
KASPA,100,0.03822256,3.8222560000000003,2026-05-12 23: 09
